,Vo,Mo
970.0,-722485864518.2631,-2.4813949037323676e+16
975.0,-724867813086.7277,-2.489575762803821e+16
980.0,-727397267323.9153,-2.4982632336065424e+16
985.0,-730074032799.482,-2.507456648364888e+16
990.0,-732897292412.0557,-2.5171532007247388e+16
995.0,-735865590325.4559,-2.527347890582072e+16
1000.0,-738976819592.9335,-2.5380334815781108e+16
1005.0,-742228213678.0414,-2.549200471977559e+16
1010.0,-745616342055.4996,-2.5608370795596628e+16
1015.0,-749137110047.86,-2.5729292410572336e+16
1020.0,-752785763024.3186,-2.5854606265775704e+16
1025.0,-756556895056.9525,-2.5984126693325096e+16
1030.0,-760444462097.0658,-2.6117646108928988e+16
1035.0,-764441799699.9783,-2.6254935620648064e+16
1040.0,-768541645289.6932,-2.6395745793580536e+16
1045.0,-772736164914.3375,-2.6539807568784092e+16
1050.0,-777016984398.4376,-2.668683333320825e+16
1055.0,-781375224749.4907,-2.683651813574144e+16
1060.0,-785801541625.4025,-2.6988541042729596e+16
1065.0,-790286168617.9677,-2.714256662455758e+16
1070.0,-794818964057.2605,-2.7298246563157104e+16
1075.0,-799389460993.8918,-2.745522136865926e+16
1080.0,-803986919971.7449,-2.7613122191886716e+16
1085.0,-808600384164.0525,-2.7771572718015376e+16
1090.0,-813218736411.4565,-2.7930191125560148e+16
1095.0,-817830757672.7471,-2.8088592093879468e+16
1100.0,-822425186377.8987,-2.8246388841669496e+16
1105.0,-826990778159.2797,-2.840319517844669e+16
1110.0,-831516365430.8794,-2.855862755081056e+16
1115.0,-835990916287.3552,-2.8712307065345476e+16
1120.0,-840403592204.7706,-2.8863861470366228e+16
1125.0,-844743804042.9913,-2.9012927079333692e+16
1130.0,-849001265875.4384,-2.9159150619650476e+16
1135.0,-853166046204.4838,-2.9302190991665904e+16
1140.0,-857228616159.3108,-2.9441720924042996e+16
1145.0,-861179894316.6796,-2.957742851313834e+16
1150.0,-865011287832.9354,-2.97090186356907e+16
1155.0,-868714729626.7393,-2.9836214225870748e+16
1160.0,-872282711405.1237,-2.995875740956883e+16
1165.0,-875708312379.1383,-3.0076410490640644e+16
1170.0,-878985223568.1238,-3.01889567856433e+16
1175.0,-882107767642.303,-3.029620130533386e+16
1180.0,-885070914300.9879,-3.0397971282837504e+16
1185.0,-887870291227.7557,-3.049411654990566e+16
1190.0,-890502190704.2775,-3.0584509764069532e+16
1195.0,-892963572001.034,-3.0669046490749804e+16
1200.0,-895252059695.9147,-3.07476451455085e+16
1205.0,-897365938100.6796,-3.0820246802624532e+16
1210.0,-899304142000.464,-3.0886814877039744e+16
1215.0,-901066243932.8237,-3.094733468745472e+16
1220.0,-902652438250.0277,-3.1001812908944404e+16
1225.0,-904063522221.1818,-3.1050276923906064e+16
1230.0,-905300874439.3407,-3.109277408044641e+16
1235.0,-906366430803.3236,-3.1129370867471292e+16
1240.0,-907262658344.7451,-3.116015201576893e+16
1245.0,-907992527168.1318,-3.1185219534286436e+16
1250.0,-908559480766.328,-3.120469169060543e+16
1255.0,-908967404965.2228,-3.1218701944341284e+16
1260.0,-909220595741.4738,-3.1227397841835144e+16
