,Vo,Mo
2180.0,-74901249789.53749,-2.477502877653933e+16
2185.0,-75565932476.28844,-2.499488535754156e+16
2190.0,-76231832080.60408,-2.5215144457430576e+16
2195.0,-76897219332.1839,-2.5435234086799292e+16
2200.0,-77560369201.99617,-2.5654583659121812e+16
2205.0,-78219571241.72778,-2.5872627410725344e+16
2210.0,-78873139749.16754,-2.6088807763186188e+16
2215.0,-79519423662.56839,-2.630257859608031e+16
2220.0,-80156816090.92545,-2.6513408399306108e+16
2225.0,-80783763392.36281,-2.672078327593539e+16
2230.0,-81398773719.33011,-2.69242097687015e+16
2235.0,-82000424956.93904,-2.712321748575676e+16
2240.0,-82587371989.37111,-2.7317361504176596e+16
2245.0,-83158353238.6976,-2.7506224532799976e+16
2250.0,-83712196430.49333,-2.7689418819317028e+16
2255.0,-84247823551.10196,-2.7866587789979876e+16
2260.0,-84764254972.11572,-2.8037407413853664e+16
2265.0,-85260612728.34515,-2.8201587287068012e+16
2270.0,-85736122946.0473,-2.835887143600026e+16
2275.0,-86190117428.23764,-2.8509038841647836e+16
2280.0,-86622034413.32747,-2.8651903690562164e+16
2285.0,-87031418531.94347,-2.8787315360565916e+16
2290.0,-87417919994.46837,-2.8915158152016464e+16
2295.0,-87781293048.50775,-2.9035350777583332e+16
2300.0,-88121393751.0893,-2.9147845625360308e+16
2305.0,-88438177104.93626,-2.9252627811632764e+16
2310.0,-88731693611.65677,-2.9349714040778776e+16
2315.0,-89002085297.23059,-2.9439151290622428e+16
2320.0,-89249581266.85364,-2.952101534211313e+16
2325.0,-89474492847.13683,-2.959540917251449e+16
2330.0,-89677208373.9704,-2.966246123139021e+16
2335.0,-89858187684.16322,-2.9722323618607836e+16
2340.0,-90017956368.3411,-2.9775170183374364e+16
2345.0,-90157099841.60524,-2.9821194562992504e+16
2350.0,-90276257287.1616,-2.986060817959961e+16
2355.0,-90376115526.55772,-2.989363821263063e+16
2360.0,-90457402868.31366,-2.9920525564134516e+16
2365.0,-90520882984.59119,-2.994152283336478e+16
2370.0,-90567348863.08478,-2.9956892316251116e+16
2375.0,-90597616878.50366,-2.9966904044428136e+16
2380.0,-90612521024.82251,-2.9971833877441292e+16
2385.0,-90612907345.89494,-2.997196166056525e+16
2390.0,-90599628598.0628,-2.9967569459359236e+16
2395.0,-90573539174.08385,-2.9958939880658504e+16
2400.0,-90535490313.09766,-2.9946354488178452e+16
2405.0,-90486325616.53247,-2.9930092319314584e+16
2410.0,-90426876884.92091,-2.9910428508089228e+16
2415.0,-90357960285.66267,-2.9887633017565348e+16
2420.0,-90280372856.97694,-2.9861969483461604e+16
2425.0,-90194889348.76453,-2.983369416920673e+16
2430.0,-90102259396.97145,-2.9803055031305944e+16
2435.0,-90003205024.41583,-2.977029089269139e+16
2440.0,-89898418457.98238,-2.973563072071725e+16
2445.0,-89788560249.64793,-2.9699293005652776e+16
2450.0,-89674257686.99123,-2.9661485234927864e+16
2455.0,-89556103477.64601,-2.9622403457990604e+16
2460.0,-89434654691.53194,-2.9582231936429796e+16
2465.0,-89310431944.57175,-2.954114287397373e+16
2470.0,-89183918807.88033,-2.9499296221068108e+16
2475.0,-89055561426.98587,-2.9456839548926092e+16
2480.0,-88925768336.40955,-2.9413907988197e+16
2485.0,-88794910455.79312,-2.937062422768542e+16
2490.0,-88663321254.64238,-2.932709856884325e+16
2495.0,-88531297073.58723,-2.92834290320327e+16
2500.0,-88399097590.80212,-2.923970151080378e+16
2505.0,-88266946422.8552,-2.919598997063672e+16
2510.0,-88135031849.75394,-2.9152356688764764e+16
2515.0,-88003507654.33565,-2.9108852531818716e+16
2520.0,-87872494066.4344,-2.90655172681283e+16
2525.0,-87742078802.47105,-2.902237991158658e+16
2530.0,-87612318191.29329,-2.8979459094043164e+16
2535.0,-87483238377.2634,-2.893676346324866e+16
2540.0,-87354836591.77844,-2.8894292103434404e+16
2545.0,-87227082484.62364,-2.8852034975683204e+16
2550.0,-87099919506.81432,-2.880997337533089e+16
2555.0,-86973266336.87616,-2.876808040373596e+16
2560.0,-86847018342.84178,-2.872632145186305e+16
2565.0,-86721049072.59195,-2.868465469324195e+16
2570.0,-86595211765.5274,-2.864303158398214e+16
2575.0,-86469340878.90083,-2.8601397367636428e+16
2580.0,-86343253622.4562,-2.855969158281244e+16
2585.0,-86216751495.29721,-2.8517848571521384e+16
2590.0,-86089621819.13571,-2.8475797986329504e+16
2595.0,-85961639262.25359,-2.8433465294437724e+16
2600.0,-85832567348.6522,-2.839077227686188e+16
2605.0,-85702159946.97923,-2.83476375209239e+16
2610.0,-85570162733.92921,-2.830397690429966e+16
2615.0,-85436314626.93866,-2.825970406891048e+16
2620.0,-85300349181.16759,-2.8214730883001588e+16
2625.0,-85161995946.00552,-2.8168967889832596e+16
2630.0,-85020981776.68858,-2.8122324741520068e+16
2635.0,-84877032097.08316,-2.8074710616727504e+16
2640.0,-84729872110.2911,-2.8026034621096292e+16
2645.0,-84579227954.46286,-2.79762061695531e+16
2650.0,-84424827802.05873,-2.7925135349911736e+16
2655.0,-84266402901.75885,-2.7872733267504852e+16
2660.0,-84103688563.25795,-2.7818912370923784e+16
2665.0,-83936425086.262,-2.7763586759302044e+16
2670.0,-83764358636.0816,-2.7706672471934684e+16
