,Vo,Mo
630.0,-1700298210992.6016,-5.839714688944828e+16
635.0,-1703803995025.2583,-5.851755387676037e+16
640.0,-1707077433592.9087,-5.862998090375645e+16
645.0,-1710116659137.8618,-5.8734363828723e+16
650.0,-1712920739331.8271,-5.883067063062287e+16
655.0,-1715489664081.826,-5.891890096281033e+16
660.0,-1717824328664.4014,-5.89990855737714e+16
665.0,-1719926513177.5032,-5.907128560139401e+16
670.0,-1721798858507.5237,-5.913559174755007e+16
675.0,-1723444839017.1196,-5.919212334005227e+16
680.0,-1724868732165.7817,-5.924102728926524e+16
685.0,-1726075585278.8127,-5.928247694677827e+16
690.0,-1727071179681.5828,-5.93166708735877e+16
695.0,-1727861992414.9644,-5.934383152520443e+16
700.0,-1728455155745.168,-5.936420386100965e+16
705.0,-1728858414677.0637,-5.937805388503963e+16
710.0,-1729080082674.8237,-5.93856671252008e+16
715.0,-1729128995787.5374,-5.938734705770292e+16
720.0,-1729014465370.7073,-5.938341348326774e+16
725.0,-1728746229587.9294,-5.937420086144258e+16
730.0,-1728334403871.254,-5.936005660914962e+16
735.0,-1727789430514.0574,-5.934133936944114e+16
740.0,-1727122027566.1912,-5.931841725629122e+16
745.0,-1726343137197.3386,-5.929166608112289e+16
750.0,-1725463873690.7583,-5.926146756664092e+16
755.0,-1724495471226.0996,-5.922820755342021e+16
760.0,-1723449231606.7224,-5.9192274204588024e+16
765.0,-1722336472083.9766,-5.9154056213836584e+16
770.0,-1721168473428.46,-5.9113941021917944e+16
775.0,-1719956428396.51,-5.907231304671347e+16
780.0,-1718711390739.3647,-5.902955193194128e+16
785.0,-1717444224902.9817,-5.898603081958455e+16
790.0,-1716165556569.2822,-5.89421146512188e+16
795.0,-1714885724195.1738,-5.8898158503608056e+16
800.0,-1713614731714.0212,-5.885450596422562e+16
805.0,-1712362202574.3276,-5.881148755270162e+16
810.0,-1711137335300.8328,-5.876941919455837e+16
815.0,-1709948860773.041,-5.872860075393123e+16
820.0,-1708805001425.16,-5.86893146322808e+16
825.0,-1707713432579.4092,-5.8651824440376136e+16
830.0,-1706681246130.3235,-5.861637375102362e+16
835.0,-1705714916798.4114,-5.858318494004068e+16
840.0,-1704820271165.3538,-5.855245812276245e+16
845.0,-1704002459690.3606,-5.852437019293679e+16
850.0,-1703265931890.5586,-5.849907397028883e+16
855.0,-1702614414849.2039,-5.84766974623804e+16
860.0,-1702050895194.2222,-5.84573432456587e+16
865.0,-1701577604665.539,-5.844108796976286e+16
870.0,-1701196009363.309,-5.842798198825175e+16
875.0,-1700906802742.0784,-5.8418049117986856e+16
880.0,-1700709902390.1594,-5.841128652851917e+16
885.0,-1700604450610.1533,-5.84076647620273e+16
890.0,-1700588818795.6487,-5.840712788363627e+16
895.0,-1700660615579.9353,-5.8409593761287064e+16
900.0,-1700816698714.2454,-5.84149544736976e+16
905.0,-1701053190615.0002,-5.842307684433662e+16
910.0,-1701365497501.76,-5.843380309872116e+16
915.0,-1701748332030.179,-5.844695164175079e+16
920.0,-1702195739307.4678,-5.8462317951214824e+16
925.0,-1702701126162.1272,-5.84796755830683e+16
930.0,-1703257293526.2205,-5.849877728360889e+16
935.0,-1703856471778.1648,-5.85193562033334e+16
940.0,-1704490358887.1445,-5.854112720701682e+16
945.0,-1705150161196.12,-5.856378827441437e+16
950.0,-1705826636678.38,-5.858702198591817e+16
955.0,-1706510140502.4067,-5.861049708749338e+16
960.0,-1707190672741.08,-5.86338701292621e+16
965.0,-1707857928063.5745,-5.865678717218349e+16
970.0,-1708501347251.5908,-5.867888555739095e+16
975.0,-1709110170385.8381,-5.869979573289457e+16
980.0,-1709673491553.7092,-5.871914313252918e+16
985.0,-1710180314933.9907,-5.873655010219719e+16
990.0,-1710619612117.6746,-5.875163786856538e+16
995.0,-1710980380523.2722,-5.876402854535286e+16
1000.0,-1711251702758.9756,-5.877334717213862e+16
1005.0,-1711422806772.7625,-5.877922378023119e+16
1010.0,-1711483126616.9165,-5.878129547964053e+16
1015.0,-1711422363636.7302,-5.877920856061866e+16
1020.0,-1711230547874.3108,-5.877262060258794e+16
1025.0,-1710898099456.6377,-5.876120258252857e+16
1030.0,-1710415889712.2478,-5.8744640974045656e+16
1035.0,-1709775301733.8494,-5.8722639827406616e+16
1040.0,-1708968290075.9016,-5.869492281986876e+16
1045.0,-1707987439247.718,-5.866123526463889e+16
1050.0,-1706826020634.671,-5.8621346065845544e+16
1055.0,-1705478047453.2383,-5.857504960598325e+16
1060.0,-1703938327320.5178,-5.8522167551424936e+16
1065.0,-1702202511995.918,-5.8462550560812184e+16
1070.0,-1700267143832.3748,-5.839607988043335e+16
1075.0,-1698129698457.0625,-5.832266881010268e+16
1080.0,-1695788623188.1597,-5.824226402259334e+16
1085.0,-1693243370686.9868,-5.815484671942806e+16
1090.0,-1690494427346.4731,-5.80604336058878e+16
1095.0,-1687543335929.3186,-5.795907766852482e+16
1100.0,-1684392711992.5535,-5.7850868739268056e+16
1105.0,-1681046253668.738,-5.773593383136083e+16
1110.0,-1677508744417.396,-5.761443723385938e+16
1115.0,-1673786048413.0386,-5.748658035323353e+16
1120.0,-1669885098297.8079,-5.735260129272829e+16
1125.0,-1665813875096.531,-5.7212774162541576e+16
1130.0,-1661581380169.567,-5.7067408116538104e+16
1135.0,-1657197599164.232,-5.69168461141525e+16
1140.0,-1652673458018.795,-5.676146340933599e+16
1145.0,-1648020771173.1333,-5.660166577183916e+16
1150.0,-1643252182245.2297,-5.6437887449732e+16
1155.0,-1638381097540.004,-5.627058888574895e+16
1160.0,-1633421612863.0396,-5.610025420368892e+16
1165.0,-1628388434212.5908,-5.5927388484563384e+16
1170.0,-1623296793016.1204,-5.575251485537509e+16
1175.0,-1618162356662.0737,-5.557617141631051e+16
1180.0,-1613001135154.417,-5.5398908034767784e+16
1185.0,-1607829384786.392,-5.5221283037008824e+16
1190.0,-1602663509790.123,-5.504385983029173e+16
1195.0,-1597519962969.9436,-5.4867203490098664e+16
1200.0,-1592415146370.1982,-5.469187734854788e+16
1205.0,-1587365313063.3115,-5.45184396212816e+16
1210.0,-1582386471169.6733,-5.434744011100604e+16
1215.0,-1577494291226.7227,-5.417941702606066e+16
1220.0,-1572704017984.3352,-5.401489395100961e+16
1225.0,-1568030387590.0793,-5.385437700234975e+16
1230.0,-1563487550945.1296,-5.369835219615118e+16
1235.0,-1559089003800.688,-5.35472830472022e+16
1240.0,-1554847523969.2808,-5.3401608412516376e+16
1245.0,-1550775115862.5706,-5.326174058647043e+16
1250.0,-1546882962434.1282,-5.3128063650267384e+16
1255.0,-1543181384495.8228,-5.30009320746482e+16
1260.0,-1539679807287.533,-5.288066957172063e+16
1265.0,-1536386734110.72,-5.2767568189397944e+16
1270.0,-1533309726785.4873,-5.266188764019204e+16
1275.0,-1530455392656.047,-5.256385485491305e+16
1280.0,-1527829377849.4104,-5.2473663751137496e+16
1285.0,-1525436366485.6733,-5.239147520608533e+16
1290.0,-1523280085544.2427,-5.231741722375167e+16
1295.0,-1521363315106.4456,-5.225158528669161e+16
1300.0,-1519687903716.7625,-5.219404288360548e+16
1305.0,-1518254788626.2832,-5.214482220460508e+16
1310.0,-1517064020696.3875,-5.210392499653664e+16
1315.0,-1516114793744.3994,-5.20713235708642e+16
1320.0,-1515405478106.1265,-5.204696195638303e+16
1325.0,-1514933658174.2524,-5.203075718848475e+16
1330.0,-1514696173645.5398,-5.202260072580218e+16
1335.0,-1514689164171.1262,-5.202235998373451e+16
1340.0,-1514908117053.0298,-5.202987997259514e+16
1345.0,-1515347917571.4062,-5.204498502611318e+16
1350.0,-1516002901469.1543,-5.206748060402989e+16
1355.0,-1516866909070.3977,-5.209715515081069e+16
1360.0,-1517933340471.7285,-5.2133781991201624e+16
1365.0,-1519195211222.3926,-5.217712124257861e+16
1370.0,-1520645207904.1025,-5.222692172384923e+16
1375.0,-1522275743034.9785,-5.228292284114182e+16
1380.0,-1524079008753.8738,-5.2344856431606264e+16
1385.0,-1526047028783.996,-5.2412448548117016e+16
1390.0,-1528171708218.7197,-5.248542116917865e+16
1395.0,-1530444880711.9187,-5.256349381968911e+16
1400.0,-1532858352691.3218,-5.2646385089457896e+16
1405.0,-1535403944253.8652,-5.273381403776668e+16
1410.0,-1538073526456.6265,-5.282550147413533e+16
1415.0,-1540859054792.4902,-5.29211711080516e+16
1420.0,-1543752598734.9807,-5.302055056369547e+16
1425.0,-1546746367342.5078,-5.312337225932304e+16
1430.0,-1549832731016.65,-5.3229374154559944e+16
1435.0,-1553004239602.806,-5.333830037207257e+16
