,Vo,Mo
1505.0,-48639446983.1532,-1.81911531716993e+16
1510.0,-48863055072.68697,-1.8274782597184932e+16
1515.0,-49094574168.8925,-1.83613707391658e+16
1520.0,-49333647851.77246,-1.8450784296562904e+16
1525.0,-49579903512.02378,-1.8542883913496896e+16
1530.0,-49832953510.96894,-1.8637524613102388e+16
1535.0,-50092396503.680954,-1.873455629237668e+16
1540.0,-50357818896.5001,-1.883382426729104e+16
1545.0,-50628796409.47658,-1.8935169857144244e+16
1550.0,-50904895714.77632,-1.9038430997326344e+16
1555.0,-51185676123.42937,-1.9143442870162584e+16
1560.0,-51470691294.68198,-1.9250038544211064e+16
1565.0,-51759490944.465744,-1.9358049613230188e+16
1570.0,-52051622531.99195,-1.946730682696499e+16
1575.0,-52346632906.006,-1.9577640706846244e+16
1580.0,-52644069894.52518,-1.968888214055242e+16
1585.0,-52943483823.76917,-1.980086295008967e+16
1590.0,-53244428953.54592,-1.9913416428626176e+16
1595.0,-53546464817.841774,-2.0026377841872824e+16
1600.0,-53849157461.023026,-2.0139584890422612e+16
1605.0,-54152080561.933334,-2.0252878130163068e+16
1610.0,-54454816440.138756,-2.0366101348611896e+16
1615.0,-54756956940.4833,-2.0479101895740756e+16
1620.0,-55058104193.922745,-2.059173096852711e+16
1625.0,-55357871254.35285,-2.070384384912797e+16
1630.0,-55655882612.90455,-2.0815300097226304e+16
1635.0,-55951774592.93698,-2.0925963697758436e+16
1640.0,-56245195630.63051,-2.1035703165855812e+16
1645.0,-56535806447.601494,-2.1144391611402964e+16
1650.0,-56823280123.41417,-2.12519067661569e+16
1655.0,-57107302077.47934,-2.1358130976977276e+16
1660.0,-57387569971.788284,-2.146295116944882e+16
1665.0,-57663793548.18025,-2.1566258787019416e+16
1670.0,-57935694416.07987,-2.166794971161387e+16
1675.0,-58203005808.448845,-2.176792417235987e+16
1680.0,-58465472324.716125,-2.186608664944383e+16
1685.0,-58722849679.51239,-2.1962345780137636e+16
1690.0,-58974904475.21089,-2.2056614273728876e+16
1695.0,-59221414014.822426,-2.214880884154359e+16
1700.0,-59462166169.97294,-2.223885014756988e+16
1705.0,-59696959316.65597,-2.2326662784429336e+16
1710.0,-59925602349.23302,-2.241217527861315e+16
1715.0,-60147914780.74371,-2.249532012799815e+16
1720.0,-60363726934.98383,-2.2576033873683956e+16
1725.0,-60572880233.01132,-2.2654257207146236e+16
1730.0,-60775227573.76065,-2.272993511258649e+16
1735.0,-60970633805.40952,-2.2803017043223164e+16
1740.0,-61158976281.36621,-2.2873457129230964e+16
1745.0,-61340145492.58836,-2.294121441422805e+16
1750.0,-61514045766.5125,-2.3006253116675676e+16
1755.0,-61680596021.89793,-2.3068542912189828e+16
1760.0,-61839730567.923195,-2.3128059232403276e+16
1765.0,-61991399934.65163,-2.318478357555971e+16
1770.0,-62135571720.56615,-2.323870382349174e+16
1775.0,-62272231441.48491,-2.328981455911536e+16
1780.0,-62401383363.960106,-2.3338117378121084e+16
1785.0,-62523051305.27539,-2.3383621188173e+16
1790.0,-62637279381.42425,-2.342634248865267e+16
1795.0,-62744132684.05084,-2.346630562383502e+16
1800.0,-62843697867.36805,-2.3503543002395652e+16
1805.0,-62936083626.590385,-2.353809527634481e+16
1810.0,-63021421050.40644,-2.3570011472852012e+16
1815.0,-63099863831.38475,-2.35993490729379e+16
1820.0,-63171588319.90044,-2.3626174031642764e+16
1825.0,-63236793409.1911,-2.3650560735037476e+16
1830.0,-63295700241.51999,-2.3672591890328476e+16
1835.0,-63348551728.12173,-2.369235834631753e+16
1840.0,-63395611878.58509,-2.3709958842590828e+16
1845.0,-63437164938.52441,-2.3725499687008132e+16
1850.0,-63473514337.6897,-2.3739094362295948e+16
1855.0,-63504981453.81245,-2.3750863063725856e+16
1860.0,-63531904200.13035,-2.376093217084875e+16
1865.0,-63554635446.43277,-2.376943365696586e+16
1870.0,-63573541284.70934,-2.3776504440481296e+16
1875.0,-63588999151.49353,-2.3782285682658584e+16
1880.0,-63601395820.23183,-2.3786922036766708e+16
1885.0,-63611125278.657104,-2.379056085421776e+16
1890.0,-63618586508.06834,-2.379335135401756e+16
1895.0,-63624181183.37388,-2.3795443762581836e+16
1900.0,-63628311314.556915,-2.379698843164429e+16
1905.0,-63631376851.74137,-2.3798134942551276e+16
1910.0,-63633773277.12783,-2.3799031205645812e+16
1915.0,-63635889207.55613,-2.3799822563625996e+16
1920.0,-63638104031.19559,-2.380065090766715e+16
1925.0,-63640785600.87437,-2.3801653814727016e+16
1930.0,-63644288005.00964,-2.380296371387361e+16
1935.0,-63648949435.212166,-2.380470708876935e+16
1940.0,-63655090167.56338,-2.3807003722668704e+16
1945.0,-63663010672.39893,-2.3809965991477204e+16
1950.0,-63672989865.31052,-2.3813698209626136e+16
1955.0,-63685283510.126236,-2.3818296032787216e+16
1960.0,-63700122782.85816,-2.3823845920788956e+16
1965.0,-63717713003.92646,-2.3830424663468496e+16
1970.0,-63738232544.321,-2.3838098971576056e+16
1975.0,-63761831909.71866,-2.384692513423478e+16
1980.0,-63788633004.87199,-2.3856948743822124e+16
1985.0,-63818728578.70117,-2.386820448843424e+16
1990.0,-63852181848.383835,-2.388071601129556e+16
1995.0,-63889026298.456825,-2.3894495835622856e+16
2000.0,-63929265648.85856,-2.3909545352673104e+16
2005.0,-63972873984.34227,-2.3925854870144012e+16
2010.0,-64019796036.95286,-2.3943403717820372e+16
2015.0,-64069947613.16943,-2.396216040732537e+16
2020.0,-64123216157.64357,-2.3982082842958696e+16
2025.0,-64179461446.02427,-2.400311858081308e+16
2030.0,-64238516400.01731,-2.4025205133606476e+16
2035.0,-64300188018.48338,-2.4048270318912788e+16
2040.0,-64364258418.97058,-2.4072232648695e+16
2045.0,-64430485984.53014,-2.4097001758214276e+16
2050.0,-64498606610.91783,-2.412247887248327e+16
2055.0,-64568335049.35474,-2.4148557308458676e+16
2060.0,-64639366339.9864,-2.4175123011154916e+16
2065.0,-64711377331.04648,-2.4202055121811384e+16
2070.0,-64784028278.439766,-2.4229226576136476e+16
2075.0,-64856964519.99637,-2.4256504730478644e+16
2080.0,-64929818218.08905,-2.4283752013565308e+16
2085.0,-65002210163.777115,-2.4310826601252644e+16
2090.0,-65073751635.302025,-2.433758311160296e+16
2095.0,-65144046303.70229,-2.436387331758466e+16
2100.0,-65212692178.47425,-2.4389546874749372e+16
2105.0,-65279283586.40697,-2.441445206131621e+16
2110.0,-65343413176.79671,-2.4438436528121972e+16
2115.0,-65404673946.12716,-2.446134805585156e+16
2120.0,-65462661275.02252,-2.4483035316858428e+16
2125.0,-65516974969.90904,-2.4503348638745984e+16
2130.0,-65567221301.39029,-2.4522140766719972e+16
2135.0,-65613015030.90608,-2.453926762155888e+16
2140.0,-65653981416.93478,-2.455458904993361e+16
2145.0,-65689758191.91123,-2.4567969563774804e+16
2150.0,-65719997501.129616,-2.457927906542248e+16
2155.0,-65744367795.06777,-2.4588393555355348e+16
2160.0,-65762555666.69299,-2.4595195819343184e+16
2165.0,-65774267625.298416,-2.4599576091861612e+16
2170.0,-65779231798.292984,-2.4601432692561576e+16
2175.0,-65777199552.258095,-2.460067263254453e+16
2180.0,-65767947024.58922,-2.4597212187196372e+16
2185.0,-65751276557.11305,-2.4590977432360284e+16
2190.0,-65727018023.081566,-2.4581904740632508e+16
2195.0,-65695030038.8085,-2.4569941234514384e+16
2200.0,-65655201050.94838,-2.4555045193054696e+16
2205.0,-65607450290.147385,-2.4537186408515124e+16
2210.0,-65551728581.70134,-2.4516346489556304e+16
2215.0,-65488019004.05475,-2.449251910751648e+16
2220.0,-65416337386.449036,-2.446571018253194e+16
2225.0,-65336732637.72381,-2.4435938006508708e+16
2230.0,-65249286899.16761,-2.440323330028869e+16
2235.0,-65154115515.37174,-2.4367639202749036e+16
2240.0,-65051366818.228455,-2.4329211190017444e+16
2245.0,-64941221720.5058,-2.4288016923469172e+16
2250.0,-64823893116.73531,-2.4244136025659012e+16
2255.0,-64699625090.31221,-2.419765978377677e+16
2260.0,-64568691926.643036,-2.4148690780564496e+16
2265.0,-64431396932.91937,-2.409734245291185e+16
2270.0,-64288071065.740974,-2.404373857858713e+16
2275.0,-64139071368.46526,-2.3988012691806012e+16
2280.0,-63984779220.95494,-2.393030742863715e+16
2285.0,-63825598405.46357,-2.387077380364338e+16
2290.0,-63661952993.809494,-2.380957041968475e+16
2295.0,-63494285062.72131,-2.3746862613457776e+16
2300.0,-63323052246.2125,-2.3682821540083476e+16
2305.0,-63148725136.029495,-2.361762320087503e+16
2310.0,-62971784543.6808,-2.3551447419336624e+16
2315.0,-62792718640.36428,-2.3484476771496244e+16
2320.0,-62612019994.22988,-2.341689547784198e+16
2325.0,-62430182527.646706,-2.3348888265339868e+16
2330.0,-62247698420.13815,-2.328063920913167e+16
2335.0,-62065054985.07058,-2.32123305644164e+16
2340.0,-61882731549.90738,-2.3144141599665364e+16
2345.0,-61701196370.915306,-2.307624744272233e+16
2350.0,-61520903613.59443,-2.300881795148432e+16
2355.0,-61342290429.63097,-2.2942016620681984e+16
2360.0,-61165774159.73459,-2.287599953574074e+16
2365.0,-60991749689.4245,-2.2810914383844764e+16
2370.0,-60820586981.94812,-2.27468995312486e+16
2375.0,-60652628809.372955,-2.268408317470549e+16
2380.0,-60488188699.75277,-2.2622582573707536e+16
2385.0,-60327549115.29811,-2.2562503369121496e+16
2390.0,-60170959873.74287,-2.2503938992779836e+16
2395.0,-60018636822.61727,-2.2446970171658864e+16
2400.0,-59870760773.91809,-2.239166452944537e+16
2405.0,-59727476704.65528,-2.233807628754108e+16
2410.0,-59588893226.8459,-2.228624606684037e+16
2415.0,-59455082328.65551,-2.2236200790917164e+16
2420.0,-59326079386.59006,-2.2187953690584684e+16
2425.0,-59201883447.002525,-2.2141504409178948e+16
2430.0,-59082457773.73524,-2.209683920737698e+16
2435.0,-58967730657.37728,-2.2053931265859108e+16
2440.0,-58857596480.2163,-2.2012741083600896e+16
2445.0,-58751917029.390114,-2.1973216968991904e+16
2450.0,-58650523048.90709,-2.1935295620291256e+16
2455.0,-58553216018.9901,-2.18989027911023e+16
2460.0,-58459770148.58249,-2.1863954035569852e+16
2465.0,-58369934564.00488,-2.1830355526937828e+16
2470.0,-58283435673.94404,-2.179800494205507e+16
2475.0,-58199979688.421234,-2.1766792403469544e+16
2480.0,-58119255267.2901,-2.17366014699665e+16
2485.0,-58040936272.27553,-2.1707310165831052e+16
2490.0,-57964684595.63233,-2.1678792038766496e+16
2495.0,-57890153038.11064,-2.1650917236253384e+16
