,Vo,Mo
525.0,-1128982921411.5295,-6.58422839767204e+16
530.0,-1129203641591.6597,-6.585515637762559e+16
535.0,-1129424397701.6543,-6.586803087396049e+16
540.0,-1129643669702.5842,-6.588081881705471e+16
545.0,-1129859839925.859,-6.589342586447609e+16
550.0,-1130071196163.5303,-6.590575216025709e+16
555.0,-1130275935465.1963,-6.591769255633026e+16
560.0,-1130472168655.9297,-6.592913687601382e+16
565.0,-1130657925585.7612,-6.59399702201616e+16
570.0,-1130831161117.0457,-6.5950073316346104e+16
575.0,-1130989761851.5398,-6.595932291118181e+16
580.0,-1131131553594.2473,-6.59675922056165e+16
585.0,-1131254309546.035,-6.597475133272476e+16
590.0,-1131355759211.7383,-6.598066787722858e+16
595.0,-1131433598004.937,-6.598520743564793e+16
600.0,-1131485497524.8765,-6.59882342156508e+16
605.0,-1131509116475.0908,-6.59896116728273e+16
610.0,-1131502112187.258,-6.598920318276089e+16
615.0,-1131462152707.647,-6.5986872745909976e+16
620.0,-1131386929397.3015,-6.598248572245063e+16
625.0,-1131274169990.8433,-6.597590959386598e+16
630.0,-1131121652052.537,-6.596701474770396e+16
635.0,-1130927216762.0747,-6.595567528156419e+16
640.0,-1130688782956.4683,-6.594176982202123e+16
645.0,-1130404361348.5405,-6.592518235384689e+16
650.0,-1130072068836.8206,-6.590580305456338e+16
655.0,-1129690142816.2664,-6.588352912904466e+16
660.0,-1129256955394.1865,-6.585826563858896e+16
665.0,-1128771027411.1157,-6.582992631861627e+16
670.0,-1128231042162.2517,-6.579843437890253e+16
675.0,-1127635858711.4814,-6.57637232800536e+16
680.0,-1126984524687.0747,-6.572573747975019e+16
685.0,-1126276288445.879,-6.5684433142163656e+16
690.0,-1125510610491.395,-6.563977880385815e+16
695.0,-1124687174030.5222,-6.5591755989460056e+16
700.0,-1123805894554.1235,-6.554035977039648e+16
705.0,-1122866928327.947,-6.548559926008587e+16
710.0,-1121870679682.947,-6.542749803910947e+16
715.0,-1120817806997.745,-6.5366094504108504e+16
720.0,-1119709227270.9568,-6.530144213444219e+16
725.0,-1118546119187.4436,-6.523360967101172e+16
730.0,-1117329924590.367,-6.51626812021102e+16
735.0,-1116062348280.2102,-6.5088756151701864e+16
740.0,-1114745356072.9016,-6.501194916617163e+16
745.0,-1113381171061.7637,-6.4932389896322056e+16
750.0,-1111972268042.4182,-6.485022267223383e+16
755.0,-1110521366076.0002,-6.476560606955233e+16
760.0,-1109031419184.1646,-6.467871236682047e+16
765.0,-1107505605189.498,-6.458972689465154e+16
770.0,-1105947312737.1025,-6.449884727882782e+16
775.0,-1104360126557.385,-6.4406282580826696e+16
780.0,-1102747811056.525,-6.431225234081653e+16
785.0,-1101114292349.7205,-6.42169855298357e+16
790.0,-1099463638883.2262,-6.412071941966975e+16
795.0,-1097800040824.396,-6.4023698380878776e+16
800.0,-1096127788434.4857,-6.392617262149921e+16
805.0,-1094451249676.2206,-6.382839688111718e+16
810.0,-1092774847343.1189,-6.373062909705069e+16
815.0,-1091103036020.9846,-6.363312906074382e+16
820.0,-1089440279194.373,-6.353615708261584e+16
825.0,-1087791026791.6863,-6.3439972682491144e+16
830.0,-1086159693430.4816,-6.334483332086568e+16
835.0,-1084550637588.4596,-6.325099318415896e+16
840.0,-1082968141889.6187,-6.315870203500256e+16
845.0,-1081416394659.9911,-6.306820413657068e+16
850.0,-1079899472872.7279,-6.2979737257937496e+16
855.0,-1078421326567.6228,-6.289353176542376e+16
860.0,-1076985764796.5634,-6.2809809802935576e+16
865.0,-1075596443116.5189,-6.2728784562555384e+16
870.0,-1074256852627.4507,-6.265065964523293e+16
875.0,-1072970310533.666,-6.257562851032341e+16
880.0,-1071739952192.2217,-6.250387401185037e+16
885.0,-1070568724599.9181,-6.2435568018667224e+16
890.0,-1069459381260.5349,-6.23708711151144e+16
895.0,-1068414478365.4038,-6.230993237827035e+16
900.0,-1067436372212.6703,-6.225288922744293e+16
905.0,-1066527217783.7063,-6.219986734114575e+16
910.0,-1065688968389.1506,-6.215098063645526e+16
915.0,-1064923376292.0084,-6.210633130534994e+16
920.0,-1064231994211.4254,-6.206600990241034e+16
925.0,-1063616177608.5264,-6.2030095478129256e+16
930.0,-1063077087654.942,-6.1998655752036216e+16
935.0,-1062615694785.02,-6.197174731986237e+16
940.0,-1062232782734.4868,-6.194941588907527e+16
945.0,-1061928952971.9387,-6.193169653732347e+16
950.0,-1061704629434.4514,-6.191861398861721e+16
955.0,-1061560063483.1846,-6.191018290233932e+16
960.0,-1061495338998.2677,-6.190640817037898e+16
965.0,-1061510377535.8016,-6.190728521788795e+16
970.0,-1061604943475.599,-6.1912800303496936e+16
975.0,-1061778649096.761,-6.19229308153231e+16
980.0,-1062030959527.7017,-6.193764555965556e+16
985.0,-1062361197526.1492,-6.195690503972502e+16
990.0,-1062768548052.8545,-6.198066172244247e+16
995.0,-1063252062610.7786,-6.200886029146061e+16
1000.0,-1063810663329.5128,-6.204143788537719e+16
1005.0,-1064443146782.4445,-6.207832432035216e+16
1010.0,-1065148187532.0012,-6.211944229686631e+16
1015.0,-1065924341406.3057,-6.216470759081574e+16
1020.0,-1066770048518.1942,-6.221402922958109e+16
1025.0,-1067683636044.2518,-6.226730965410077e+16
1030.0,-1068663320787.1967,-6.2324444868309304e+16
1035.0,-1069707211549.8732,-6.238532457758861e+16
1040.0,-1070813311353.4587,-6.244983231813371e+16
1045.0,-1071979519536.12,-6.251784557934652e+16
1050.0,-1073203633770.8607,-6.258923592151659e+16
1055.0,-1074483352042.4369,-6.266386909111492e+16
1060.0,-1075816274623.4392,-6.274160513603898e+16
1065.0,-1077199906089.4452,-6.282229852313645e+16
1070.0,-1078631657412.5358,-6.290579826029909e+16
1075.0,-1080108848171.2319,-6.299194802534625e+16
1080.0,-1081628708912.8419,-6.308058630379694e+16
1085.0,-1083188383700.9631,-6.317154653744018e+16
1090.0,-1084784932876.4568,-6.326465728535496e+16
1095.0,-1086415336055.5164,-6.335974239875771e+16
1100.0,-1088076495384.6569,-6.345662121083318e+16
1105.0,-1089765239069.9019,-6.355510874255668e+16
1110.0,-1091478325195.8512,-6.365501592542204e+16
1115.0,-1093212445849.845,-6.375614984196296e+16
1120.0,-1094964231567.6696,-6.385831398502649e+16
1125.0,-1096730256120.0161,-6.396130853691934e+16
1130.0,-1098507041662.1913,-6.406493066973899e+16
1135.0,-1100291064272.536,-6.416897486837429e+16
1140.0,-1102078759907.7183,-6.4273233277818136e+16
1145.0,-1103866530806.2705,-6.43774960766217e+16
1150.0,-1105650752376.1216,-6.4481551878575416e+16
1155.0,-1107427780607.276,-6.458518816501633e+16
1160.0,-1109193960055.6064,-6.468819175044297e+16
1165.0,-1110945632445.269,-6.479034928420808e+16
1170.0,-1112679145933.0032,-6.4891447790812744e+16
1175.0,-1114390865067.3628,-6.499127525072859e+16
1180.0,-1116077181461.5078,-6.508962122283514e+16
1185.0,-1117734525181.34,-6.518627750857575e+16
1190.0,-1119359376832.2468,-6.528103885685663e+16
1195.0,-1120948280308.644,-6.537370370760012e+16
1200.0,-1122497856152.1782,-6.546407497079504e+16
1205.0,-1124004815447.2268,-6.5551960836882264e+16
1210.0,-1125465974165.487,-6.56371756133312e+16
1215.0,-1126878267855.011,-6.571954058130425e+16
1220.0,-1128238766554.2322,-6.5798884865442824e+16
1225.0,-1129544689799.765,-6.587504630912229e+16
1230.0,-1130793421588.3748,-6.594787234703402e+16
1235.0,-1131982525147.5305,-6.6017220866603976e+16
1240.0,-1133109757364.0903,-6.608296104947375e+16
1245.0,-1134173082716.5874,-6.6144974184031384e+16
1250.0,-1135170686553.943,-6.620315443982597e+16
1255.0,-1136100987563.0771,-6.625740959467866e+16
1260.0,-1136962649269.9324,-6.6307661705422456e+16
1265.0,-1137754590422.6975,-6.635384771345173e+16
1270.0,-1138475994112.3835,-6.639591997663421e+16
1275.0,-1139126315494.6975,-6.643384671965076e+16
1280.0,-1139705287988.456,-6.646761239548676e+16
1285.0,-1140212927839.512,-6.6497217951600344e+16
1290.0,-1140649536955.0735,-6.652268099521988e+16
1295.0,-1141015703930.9321,-6.654403585325197e+16
1300.0,-1141312303213.0017,-6.6561333523382264e+16
1305.0,-1141540492354.3892,-6.6574641514107976e+16
1310.0,-1141701707349.8591,-6.6584043572643784e+16
1315.0,-1141797656050.8438,-6.658963930088521e+16
1320.0,-1141830309686.008,-6.659154366088799e+16
1325.0,-1141801892534.8828,-6.658988637263436e+16
1330.0,-1141714869825.0566,-6.65848112081973e+16
1335.0,-1141571933946.0083,-6.65764751877312e+16
1340.0,-1141375989093.993,-6.656504768396167e+16
1345.0,-1141130134482.6099,-6.6550709443025816e+16
1350.0,-1140837646272.9834,-6.65336515306404e+16
1355.0,-1140501958394.7366,-6.651407421358104e+16
1360.0,-1140126642441.9775,-6.6492185787216136e+16
1365.0,-1139715386836.3455,-6.646820136029567e+16
1370.0,-1139271975452.4602,-6.644234160838748e+16
1375.0,-1138800265901.2444,-6.641483150736057e+16
1380.0,-1138304167664.3516,-6.638589905818498e+16
1385.0,-1137787620268.735,-6.635577401407262e+16
1390.0,-1137254571684.4705,-6.632468662063832e+16
1395.0,-1136708957121.6199,-6.629286637933287e+16
1400.0,-1136154678393.075,-6.626054084388413e+16
1405.0,-1135595583999.2263,-6.622793445883487e+16
1410.0,-1135035450076.1108,-6.619526744843878e+16
1415.0,-1134477962331.0369,-6.616275476314607e+16
1420.0,-1133926699068.9092,-6.613060508969878e+16
1425.0,-1133385115390.0967,-6.609901992955043e+16
1430.0,-1132856528619.1575,-6.6068192749069256e+16
1435.0,-1132344105005.1533,-6.6038308203900536e+16
1440.0,-1131850847718.934,-6.600954143896823e+16
1445.0,-1131379586159.3752,-6.598205746481476e+16
1450.0,-1130932966567.739,-6.595601061023054e+16
1455.0,-1130513443936.7622,-6.593154405039197e+16
1460.0,-1130123275188.89,-6.590878940901606e+16
1465.0,-1129764513586.2363,-6.5887866432349304e+16
1470.0,-1129439004323.7407,-6.586888273216055e+16
1475.0,-1129148381248.0144,-6.58519335943842e+16
1480.0,-1128894064639.0066,-6.583710184974687e+16
