,Vo,Mo
1050.0,-427333392204.6841,-6410000883070260.0
1055.0,-428816512614.79407,-6432247689221911.0
1060.0,-430327318846.9341,-6454909782704011.0
1065.0,-431864599906.2525,-6477968998593787.0
1070.0,-433426907839.61163,-6501403617594174.0
1075.0,-435012560667.0609,-6525188410005914.0
1080.0,-436619647944.9153,-6549294719173728.0
1085.0,-438246038989.18823,-6573690584837823.0
1090.0,-439889393746.2391,-6598340906193586.0
1095.0,-441547176251.9965,-6623207643779948.0
1100.0,-443216670573.04224,-6648250058595633.0
1105.0,-444894999073.4636,-6673424986101954.0
1110.0,-446579142802.3421,-6698687142035131.0
1115.0,-448265963749.8761,-6723989456248141.0
1120.0,-449952228677.5152,-6749283430162727.0
1125.0,-451634634191.1184,-6774519512866775.0
1130.0,-453309832697.8855,-6799647490468282.0
1135.0,-454974458869.0711,-6824616883036066.0
1140.0,-456625156222.21356,-6849377343333203.0
1145.0,-458258603439.20306,-6873879051588046.0
1150.0,-459871540049.829,-6898073100747435.0
1155.0,-461460791133.8038,-6921911867007056.0
1160.0,-463023290726.4137,-6945349360896205.0
1165.0,-464556103652.1686,-6968341554782528.0
1170.0,-466056445554.9723,-6990846683324584.0
1175.0,-467521700940.0974,-7012825514101460.0
1180.0,-468949439090.3706,-7034241586355558.0
1185.0,-470337427764.45184,-7055061416466778.0
1190.0,-471683644627.32776,-7075254669409916.0
1195.0,-472986286400.9212,-7094794296013818.0
1200.0,-474243775755.2876,-7113656636329314.0
1205.0,-475454765987.85376,-7131821489817806.0
1210.0,-476618143559.6204,-7149272153394306.0
1215.0,-477733028573.6163,-7165995428604244.0
1220.0,-478798773292.9097,-7181981599393645.0
1225.0,-479814958804.06903,-7197224382061035.0
1230.0,-480781389938.0842,-7211720849071263.0
1235.0,-481698088565.2956,-7225471328479434.0
1240.0,-482565285384.5486,-7238479280768229.0
1245.0,-483383410330.1684,-7250751154952525.0
1250.0,-484153081723.79767,-7262296225856965.0
1255.0,-484875094301.87506,-7273126414528126.0
1260.0,-485550406253.5616,-7283256093803423.0
1265.0,-486180125408.12244,-7292701881121836.0
1270.0,-486765494714.84106,-7301482420722615.0
1275.0,-487307877162.13025,-7309618157431953.0
1280.0,-487808740285.22986,-7317131104278447.0
1285.0,-488269640413.39325,-7324044606200898.0
1290.0,-488692206807.51227,-7330383102112683.0
1295.0,-489078125837.5115,-7336171887562672.0
1300.0,-489429125345.46326,-7341436880181948.0
1305.0,-489746959335.2028,-7346204390028042.0
1310.0,-490033393122.3331,-7350500896834996.0
1315.0,-490290189070.0215,-7354352836050321.0
1320.0,-490519093026.12836,-7357786395391925.0
